geneid		r		left		right
ENSG00000204802		9		46685429		46688137
ENSG00000243838		3		161046712		161048026
ENSG00000248425		4		14392063		14395616
ENSG00000261970		6		80262511		80262877
ENSG00000240567		3		161144215		161166030
ENSG00000235357		6		80513300		80516942
ENSG00000171467		6		43299513		43337181
ENSG00000113141		5		140026643		140042064
ENSG00000250162		5		98169086		98169415
ENSG00000269888		3		161146900		161147401
ENSG00000234851		3		161146915		161147398
ENSG00000250147		4		54953093		54953950
ENSG00000220918		6		80564401		80565349
ENSG00000240354		3		161534697		161539696
ENSG00000260093		8		9907995		9911764
ENSG00000228064		2		151839020		151859988
ENSG00000241874		3		162204329		162204737
ENSG00000242670		4		55087293		55087639
ENSG00000244681		3		95373267		95402037
ENSG00000236885		2		151974469		152042723
ENSG00000249848		8		10194292		10195187
ENSG00000243044		3		162319415		162319580
ENSG00000213201		2		152042702		152043109
ENSG00000250910		4		156226119		156302498
ENSG00000241168		3		162744184		162949937
ENSG00000248184		4		55199059		55222121
ENSG00000225214		2		152954842		152965716
ENSG00000243547		3		96068398		96069783
ENSG00000248518		4		55242169		55242919
ENSG00000234272		2		152988069		152988359
ENSG00000241815		3		96285201		96285947
ENSG00000253434		8		112388868		112555202
ENSG00000261451		8		10291182		10295822
ENSG00000244571		3		162833217		162833974
ENSG00000218754		3		96338148		96338675
ENSG00000241018		3		96472029		96473515
ENSG00000241369		3		162845711		163079351
ENSG00000234575		9		90459067		90462229
ENSG00000213197		2		153246451		153247144
ENSG00000176243		3		96495789		96496527
ENSG00000234932		2		153707167		153707338
ENSG00000251264		4		55306669		55312890
ENSG00000226213		2		153733334		153734281
ENSG00000251172		3		97200021		97200350
ENSG00000261292		3		97478367		97480374
ENSG00000223627		6		161236582		161238383
ENSG00000250750		3		97772218		97772583
ENSG00000253388		8		37337607		37338327
ENSG00000214025		2		154015452		154016197
ENSG00000213439		3		97783316		97784240
ENSG00000225893		9		4633027		4633756
ENSG00000249225		3		97818752		97866978
ENSG00000224612		2		154028501		154058240
ENSG00000251090		3		97823598		97824516
ENSG00000233835		6		80581590		80584327
ENSG00000224371		6		161293920		161339681
ENSG00000226338		2		154064600		154064677
ENSG00000218582		6		80662722		80663728
ENSG00000248365		3		97838051		97838558
ENSG00000255033		8		112392832		112393097
ENSG00000248984		4		92029174		92033941
ENSG00000227708		2		154194219		154213936
ENSG00000253414		8		37373928		37374539
ENSG00000220311		6		80673932		80674236
ENSG00000251453		5		139961089		139961920
ENSG00000214024		2		154227126		154227578
ENSG00000189007		6		143748126		143771810
ENSG00000218418		6		80774002		80777854
ENSG00000217377		6		80787446		80788079
ENSG00000249891		4		92806197		92806405
ENSG00000242575		2		154277191		154278471
ENSG00000220105		9		4781475		4782078
ENSG00000227400		2		154278130		154449801
ENSG00000219547		6		81083732		81084286
ENSG00000240792		3		163192855		163197153
ENSG00000236917		2		154617963		154619159
ENSG00000071082		2		101618177		101640494
ENSG00000249052		4		92809037		92825486
ENSG00000254111		8		37417884		37422884
ENSG00000253620		8		14091		14320
ENSG00000230251		2		155143102		155143938
ENSG00000213585		5		133307606		133340824
ENSG00000224675		2		155292365		155313950
ENSG00000248489		5		98264875		98330717
ENSG00000235833		2		98140412		98141439
ENSG00000241597		5		98290098		98290676
ENSG00000238004		2		155316369		155317332
ENSG00000235949		2		155552974		155554329
ENSG00000228970		2		98253060		98254266
ENSG00000253156		8		112633687		112634026
ENSG00000228837		2		155797053		155797579
ENSG00000228486		2		98280680		98319527
ENSG00000230991		2		155822025		155824515
ENSG00000240518		5		139988670		139988985
ENSG00000232982		2		156119970		156120236
ENSG00000250515		5		140111875		140112448
ENSG00000185909		3		49209044		49213917
ENSG00000229701		2		156120675		156121335
ENSG00000220913		6		161326802		161334670
ENSG00000227682		2		156126145		156126399
ENSG00000248106		5		140143695		140144406
ENSG00000233709		2		156167535		156167921
ENSG00000249504		5		140240860		140243104
ENSG00000233039		2		156168209		156169939
ENSG00000177839		5		140566893		140571111
ENSG00000233248		2		156169952		156170470
ENSG00000229935		2		156170578		156170880
ENSG00000226383		2		156868129		156881125
ENSG00000164068		3		49726932		49758962
ENSG00000233342		6		161347401		161348194
ENSG00000181092		3		186560463		186576252
ENSG00000235548		2		156889759		156890592
ENSG00000238069		2		157634218		157634884
ENSG00000249444		5		98825263		98835071
ENSG00000213194		2		158067359		158068051
ENSG00000117400		1		43803478		43818443
ENSG00000233967		6		81153061		81175644
ENSG00000230562		2		158236236		158236926
ENSG00000234584		2		158582220		158592517
ENSG00000228937		2		158817922		158819400
ENSG00000206356		5		98858015		98861166
ENSG00000223912		6		132593121		132594471
ENSG00000248360		4		14475711		14889793
ENSG00000253844		8		52874018		52935534
ENSG00000225892		4		119553429		119555914
ENSG00000231158		2		158922057		158922571
ENSG00000237327		2		158984469		158990500
ENSG00000227480		2		159023162		159092681
ENSG00000227762		5		98868332		98870315
ENSG00000234890		2		159276467		159281815
ENSG00000254136		8		52908770		52920915
ENSG00000227331		2		159404937		159405736
ENSG00000254193		8		100584		100728
ENSG00000176945		3		195447753		195467994
ENSG00000249515		5		98885136		98913661
ENSG00000253612		8		105274		105481
ENSG00000204380		2		159514849		159591514
ENSG00000255464		8		150385		150562
ENSG00000228586		2		159542415		159610287
ENSG00000253166		8		152660		152897
ENSG00000231675		2		159559799		159559972
ENSG00000243792		2		159710267		159711088
ENSG00000251491		2		159718922		159719800
ENSG00000223508		8		163251		163707
ENSG00000251252		4		14507489		14508104
ENSG00000188668		2		159731154		159732182
ENSG00000249321		3		97916055		97916982
ENSG00000249975		3		97926267		97927185
ENSG00000254104		8		214315		214672
ENSG00000213189		2		159860287		159861065
ENSG00000248507		3		97940888		97941810
ENSG00000135976		2		97779233		97930258
ENSG00000117399		1		43824626		43828874
ENSG00000226878		2		159912606		159913371
ENSG00000247624		4		14911585		15003669
ENSG00000214210		3		163719394		163720253
ENSG00000223642		2		160242878		160261147
ENSG00000241636		3		164388666		164403864
ENSG00000241767		3		164431883		164549268
ENSG00000225369		2		160318928		160319767
ENSG00000224152		2		160471807		160473593
ENSG00000196367		7		98475556		98610866
ENSG00000226266		2		160527219		160568941
ENSG00000239205		3		164867794		164875850
ENSG00000249868		8		255306		281026
ENSG00000244128		3		164924748		165373211
ENSG00000230783		2		160545728		160546802
ENSG00000227055		2		160668745		160670520
ENSG00000232337		2		161905117		161907057
ENSG00000182366		8		325931		333174
ENSG00000224467		2		161952742		162016735
ENSG00000235724		2		162079296		162111179
ENSG00000227403		2		162101250		162105561
ENSG00000213558		9		110220319		110220587
ENSG00000249252		4		15006566		15429538
ENSG00000254574		8		144791177		144795754
ENSG00000236005		9		110296671		110297443
ENSG00000142937		1		45240923		45244451
ENSG00000254207		8		675188		675877
ENSG00000196208		2		11674242		11782914
ENSG00000254548		8		144800416		144801061
ENSG00000235734		2		98443711		98444013
ENSG00000248236		5		98930033		98930444
ENSG00000231635		2		98822614		98824187
ENSG00000253641		8		10332075		10339484
ENSG00000066322		1		43829068		43833697
ENSG00000248928		5		98930584		98931001
ENSG00000250391		5		99283999		99285287
ENSG00000254262		8		112754241		112769055
ENSG00000249963		5		99332251		99333636
ENSG00000250456		4		55469378		55473298
ENSG00000233186		9		4803788		4804972
ENSG00000249727		4		55702327		55711568
ENSG00000251256		4		55711734		55725407
ENSG00000256889		4		92949929		92950119
ENSG00000254290		8		37454998		37457376
ENSG00000225343		6		132839969		132840434
ENSG00000248817		4		93103628		93105203
ENSG00000235998		6		132880163		132880404
ENSG00000204110		6		37475124		37503392
ENSG00000249152		4		93189918		93198226
ENSG00000230169		8		113551118		113551546
ENSG00000249787		5		99737145		99744603
ENSG00000228165		9		4850299		4850373
ENSG00000237449		6		132915537		132916575
ENSG00000251449		4		93623496		93623810
ENSG00000247877		5		99785458		99870966
ENSG00000243754		9		4860454		4885917
ENSG00000233884		9		90463028		90468357
ENSG00000254306		8		37458055		37483391
ENSG00000179073		6		132929364		132930441
ENSG00000157224		7		90013035		90142716
ENSG00000249239		4		93743137		93744069
ENSG00000227350		9		110305432		110305897
ENSG00000220937		9		4944670		4945902
ENSG00000236980		3		49215065		49229291
ENSG00000203499		8		144816310		144828507
ENSG00000234545		7		92190107		92219708
ENSG00000218194		6		132996024		132996522
ENSG00000248627		4		93754836		93759993
ENSG00000218991		6		133019922		133020806
ENSG00000253344		8		37483533		37531905
ENSG00000225813		2		162138413		162139129
ENSG00000248750		4		93805814		93806258
ENSG00000231293		9		110596790		110597110
ENSG00000253181		8		37575097		37591274
ENSG00000232320		2		162197325		162197837
ENSG00000224076		2		162279170		162280088
ENSG00000233727		9		110616064		110616539
ENSG00000234484		6		133073814		133075090
ENSG00000250908		4		94239774		94240937
ENSG00000220557		6		133189357		133189998
ENSG00000250806		5		99989816		99993674
ENSG00000251621		2		162280526		162285285
ENSG00000132164		3		10857885		10982419
ENSG00000251261		5		101152206		101152484
ENSG00000226121		2		162357396		162364216
ENSG00000236783		9		110725984		110726326
ENSG00000226946		2		162425012		162426695
ENSG00000235716		2		162436582		162437860
ENSG00000249495		5		101312000		101312502
ENSG00000234732		2		162787709		162787976
ENSG00000254973		8		144840323		144853992
ENSG00000230918		2		162929766		162931679
ENSG00000231445		2		162933867		162934161
ENSG00000213557		9		110802494		110802873
ENSG00000228072		9		33512957		33514771
ENSG00000224674		2		162944769		162946582
ENSG00000254314		8		53063380		53067452
ENSG00000233397		2		162949939		162951364
ENSG00000213122		6		133318690		133319179
ENSG00000248213		4		119557056		119559937
ENSG00000142959		1		45249257		45253377
ENSG00000214733		8		144871090		144872629
ENSG00000248261		5		101479781		101482276
ENSG00000225123		9		33574359		33574586
ENSG00000249017		5		101836245		101841374
ENSG00000253551		8		53106922		53112140
ENSG00000075711		3		196769431		197026171
ENSG00000234373		9		33576378		33577012
ENSG00000234705		9		131425413		131425857
ENSG00000251155		4		119561828		119562013
ENSG00000237360		9		110859712		110860131
ENSG00000249002		4		119927187		119927556
ENSG00000253924		8		53207015		53214502
ENSG00000223478		9		131486724		131495473
ENSG00000226562		9		33580693		33605289
ENSG00000236841		2		163018280		163029426
ENSG00000230030		9		111014434		111017100
ENSG00000231023		6		133409219		133427717
ENSG00000214888		9		90471930		90474314
ENSG00000267834		9		131766781		131767277
ENSG00000169253		9		111389113		111389430
ENSG00000237750		2		163625446		163654482
ENSG00000227514		8		114388898		114389456
ENSG00000234055		9		131860133		131862545
ENSG00000255343		8		144915440		144916233
ENSG00000231678		9		111463650		111465372
ENSG00000227449		9		46687462		46746500
ENSG00000249356		4		119990479		119991452
ENSG00000227987		2		98963458		98967603
ENSG00000137251		6		54172657		54254950
ENSG00000240534		8		53225714		53226060
ENSG00000236564		2		99310572		99311953
ENSG00000230282		2		164008761		164009817
ENSG00000250412		4		120255484		120299388
ENSG00000173846		1		45265897		45271662
ENSG00000268707		9		131932713		131933219
ENSG00000248911		8		53887671		53888676
ENSG00000268050		9		131938086		131938941
ENSG00000144711		3		12938719		13114617
ENSG00000204055		9		131939050		131972827
ENSG00000226791		2		99378401		99388543
ENSG00000220113		6		133471707		133471955
ENSG00000249244		4		120312986		120316490
ENSG00000223542		6		133756215		133760602
ENSG00000231822		2		99718481		99719215
ENSG00000230393		2		100721381		100723966
ENSG00000235007		9		132020633		132022125
ENSG00000157150		3		12194551		12200851
ENSG00000073849		3		186648274		186796341
ENSG00000232084		2		100824716		100867946
ENSG00000251088		3		97952495		98176742
ENSG00000187900		3		97957196		97958125
ENSG00000232535		3		98030757		98031687
ENSG00000234567		6		133773995		133777743
ENSG00000241084		9		132021341		132023860
ENSG00000238029		2		101041810		101042569
ENSG00000227954		6		133823390		133832866
ENSG00000244653		3		98152878		98153691
ENSG00000229559		6		37511329		37515056
ENSG00000204637		2		101125739		101126077
ENSG00000248839		3		98241414		98244178
ENSG00000250562		3		98243905		98244118
ENSG00000227259		2		101207612		101207786
ENSG00000240827		3		98338909		98339462
ENSG00000260645		6		81176675		81178797
ENSG00000234988		2		101223490		101225820
ENSG00000244153		3		98376646		98379414
ENSG00000239445		3		98433174		98451495
ENSG00000238059		6		133831524		133831831
ENSG00000226034		2		101276674		101277087
ENSG00000219361		6		81179788		81180145
ENSG00000234169		2		101286354		101292500
ENSG00000228488		2		101338683		101339344
ENSG00000232034		2		101439123		101463682
ENSG00000249274		3		98501032		98502037
ENSG00000230140		2		101589110		101593623
